,platform,benchmark,n,time_mili
0,lexa,scheduler,0,0
1,lexa,scheduler,300,28
2,lexa,scheduler,600,55
3,lexa,scheduler,900,82
4,lexa,scheduler,1200,109
5,lexa,scheduler,1500,136
6,lexa,scheduler,1800,163
7,lexa,scheduler,2100,190
8,lexa,scheduler,2400,218
9,lexa,scheduler,2700,245
10,lexa,scheduler,3000,273
11,effekt,scheduler,0,9983
12,effekt,scheduler,300,70387
13,effekt,scheduler,600,134299
14,effekt,scheduler,900,217398
15,effekt,scheduler,1200,389510
16,effekt,scheduler,1500,509187
17,effekt,scheduler,1800,659516
18,effekt,scheduler,2100,834789
19,effekt,scheduler,2400,1153617
20,effekt,scheduler,2700,1519520
21,effekt,scheduler,3000,1807100
22,lexa,scheduler_notick,0,0
23,lexa,scheduler_notick,300,27
24,lexa,scheduler_notick,600,54
25,lexa,scheduler_notick,900,81
26,lexa,scheduler_notick,1200,108
27,lexa,scheduler_notick,1500,134
28,lexa,scheduler_notick,1800,161
29,lexa,scheduler_notick,2100,189
30,lexa,scheduler_notick,2400,215
31,lexa,scheduler_notick,2700,241
32,lexa,scheduler_notick,3000,270
33,effekt,scheduler_notick,0,103
34,effekt,scheduler_notick,300,6021
35,effekt,scheduler_notick,600,13634
36,effekt,scheduler_notick,900,23171
37,effekt,scheduler_notick,1200,33362
38,effekt,scheduler_notick,1500,40391
39,effekt,scheduler_notick,1800,52575
40,effekt,scheduler_notick,2100,54575
41,effekt,scheduler_notick,2400,60474
42,effekt,scheduler_notick,2700,62496
43,effekt,scheduler_notick,3000,63648
