,platform,benchmark,n,time_mili
0,lexa,scheduler,0,0
1,lexa,scheduler,300,28
2,lexa,scheduler,600,55
3,lexa,scheduler,900,82
4,lexa,scheduler,1200,109
5,lexa,scheduler,1500,137
6,lexa,scheduler,1800,163
7,lexa,scheduler,2100,191
8,lexa,scheduler,2400,218
9,lexa,scheduler,2700,246
10,lexa,scheduler,3000,273
11,effekt,scheduler,0,11008
12,effekt,scheduler,300,65488
13,effekt,scheduler,600,130027
14,effekt,scheduler,900,221875
15,effekt,scheduler,1200,393731
16,effekt,scheduler,1500,533645
17,effekt,scheduler,1800,694013
18,effekt,scheduler,2100,857141
19,effekt,scheduler,2400,1209313
20,effekt,scheduler,2700,1638632
21,effekt,scheduler,3000,1955254
22,lexa,scheduler_notick,0,0
23,lexa,scheduler_notick,300,27
24,lexa,scheduler_notick,600,55
25,lexa,scheduler_notick,900,81
26,lexa,scheduler_notick,1200,108
27,lexa,scheduler_notick,1500,136
28,lexa,scheduler_notick,1800,162
29,lexa,scheduler_notick,2100,190
30,lexa,scheduler_notick,2400,218
31,lexa,scheduler_notick,2700,242
32,lexa,scheduler_notick,3000,272
33,effekt,scheduler_notick,0,114
34,effekt,scheduler_notick,300,6493
35,effekt,scheduler_notick,600,15061
36,effekt,scheduler_notick,900,22968
37,effekt,scheduler_notick,1200,32024
38,effekt,scheduler_notick,1500,40937
39,effekt,scheduler_notick,1800,48615
40,effekt,scheduler_notick,2100,54016
41,effekt,scheduler_notick,2400,58603
42,effekt,scheduler_notick,2700,60909
43,effekt,scheduler_notick,3000,61632
